,Kanji,Meaning,Radicals,Sound
2,銘柄,brand,Inscription + Pattern,めいがら
3,国柄,national character,Pattern,くにがら
3,括る,to tie up,Fasten,くく
0,揺れる,to shake,Shake,ゆ
3,揺る,to shake,Shake,ゆ
4,揺らぐ,to swing,Shake,ゆ
1,焦げる,to burn,Char,こ
2,焦がす,to burn,Char,こ
3,焦る,to be in a hurry,Char,あせ
4,焦り,impatience,Char,あせ
5,焦燥,impatience,Char + Dry Up,しょうそう
0,滑る,to slide,Slippery,すべ
0,慰める,to comfort,Consolation,なぐさ
1,少尉,second lieutenant,Military Officer,しょうい
3,慰安,solace,Consolation,いあん
4,弔意,condolence,Condolence,ちょうい
5,慰問,visit to console someone,Consolation,いもん
0,懇意,friendship,Courteous,こんい
3,懇話,friendly talk,Courteous,こんわ
1,高炉,blast furnace,Furnace,こうろ
2,原子炉,atomic reactor,Furnace,げんしろ
3,炉心,nuclear reactor core,Furnace,ろしん
0,封筒,envelope,Seal + Cylinder,ふうとう
1,封鎖,blockade,Seal + Chain,ふうさ
3,封書,sealed letter,Seal,ふうしょ
5,撲滅,eradication,Slap + Destroy,ぼくめつ
3,一斉に,simultaneously,Simultaneous,いっせい
5,一斉,simultaneous,Simultaneous,いっせい
0,摩擦,friction,Chafe + Grate,まさつ
1,隔てる,"to separate (by distance, time, etc.)",Isolate,へだ
4,遠距離,long distance,Distance + Detach,えんきょり
0,襲う,to attack,Attack,おそ
0,沈む,to sink,Sink,しず
1,沈黙,silence,Sink + Shut Up,ちんもく
2,沈没,sinking,Sink + Die,ちんぼつ
3,沈める,to sink (e.g. a ship),Sink,しず
2,沼沢,marsh,Bog,しょうたく
2,入籍,"registering (a marriage, etc.) in the family register",Enroll,にゅうせき
0,懲りる,to learn by experience,Chastise,こ
2,殴る,to strike,Assault,なぐ
0,珍しい,rare,Rare,めずら
1,柔らかい,soft,Gentle,やわ
2,柔軟,flexible,Gentle + Soft,じゅうなん
0,誰か,someone,Who,だれ
0,朗らか,cheerful,Bright,ほが
3,披露,announcement,Expose + Expose,ひろう
4,露見,"discovery (of a plot, misdeed, etc.)",Expose,ろけん
6,露店,street stall,Expose,ろてん
7,露出,exposure,Expose,ろしゅつ
8,露呈,exposure,Expose + Present,ろてい
2,脅す,to threaten,Threaten,おど
3,脅し,threat,Threaten,おど
1,擦れる,to be rubbed,Grate,こす
1,萌芽,germination,Sprout + Sprout,ほうが
0,感涙,tears (from being deeply moved),Teardrop,かんるい
1,俺ら,we,I,おれ
0,丘陵,hill,Hill + Mausoleum,きゅうりょう
0,一匹,one (small animal),Small Animal,いっぴき
1,刃先,edge of blade,Blade,はさき
3,一翼,one wing,Wing,いちよく
0,叫び,shout,Shout,さけ
2,喚く,to shout,Scream,わめ
3,叫ぶ,to shout,Shout,さけ
0,忍耐,endurance,Endure + Resistant,にんたい
2,忍ぶ,to conceal oneself,Endure,しの
0,釣り,fishing,Fishing,つ
1,釣る,to fish,Fishing,つ
0,叱る,to scold,Scold,しか
4,辛い,painful,Spicy,つら
0,呪い,curse,Curse,のろ
1,呪う,to curse,Curse,のろ
4,お陰で,thanks to ...,Shade,かげ
0,曇り,cloudiness,Cloudy,くも
1,曇る,to get cloudy,Cloudy,くも
1,湿る,to become damp,Damp,しめ
3,湿地,damp ground,Damp,しっち
0,眺める,to look at,Stare,なが
1,眺め,scene,Stare,なが
0,塾生,cram school student,Cram School,じゅくせい
1,義塾,charity school,Cram School,ぎじゅく
2,歯を磨く,to brush one's teeth,Polish,はみが
0,狩猟,hunting,Hunt + Hunting,しゅりょう
1,狩り,hunting,Hunt,か
0,嫁ぐ,to marry (of a woman),Bride,とつ
2,ばい菌,germ,Bacteria,きん
3,大腸菌,Escherichia coli (E. coli),Intestines + Bacteria,だいちょうきん
4,無菌,sterilised,Bacteria,むきん
0,矛盾,contradiction,Halberd + Shield,むじゅん
1,矛先,point of a spear,Halberd,ほこさき
1,全裸,stark naked,Naked,ぜんら
2,半裸,half-nakedness,Naked,はんら
0,狂う,to go mad,Lunatic,くる
0,疲れる,to get tired,Exhausted,つか
2,疲れ,tiredness,Exhausted,つか
4,疲弊,exhaustion,Exhausted + Evil,ひへい
0,賭け,bet,Gamble,か
1,賭ける,to wager,Gamble,か
0,海溝,oceanic trench,Gutter,かいこう
0,鎮魂,repose of a soul,Tranquilize + Soul,ちんこん
1,魂胆,ulterior motive,Soul + Guts,こんたん
1,稼ぐ,to earn (income),Earnings,かせ
2,稼ぎ,earnings,Earnings,かせ
3,この頃,these days,Approximate,ごろ
0,幽霊,ghost,Secluded + Ghost,ゆうれい
1,寧ろ,rather,Rather,むし
0,穏やか,calm,Calm,おだ
2,碁会所,go parlour,Go,ごかいしょ
3,帝政,imperial government,Sovereign,ていせい
0,瞳孔,pupil (of the eye),Pupil + Cavity,どうこう
1,土俵際,edge of the ring,Sack,どひょうぎわ
0,誇る,to boast of,Pride,ほこ
2,誇大,exaggeration,Pride,こだい
1,眼孔,eye socket,Eyeball + Cavity,がんこう
1,阻む,to keep someone from doing,Thwart,はば
1,租界,concession,Tariff,そかい
1,邪魔,hindrance,Wicked + Devil,じゃま
0,涼しい,cool,Cool,すず
1,涼む,to cool oneself,Cool,すず
3,涼風,cool breeze,Cool,りょうふう
1,癖に,and yet,Habit,くせ
0,盆栽,bonsai,Lantern Festival + Planting,ぼんさい
2,盆踊り,Bon Festival dance,Lantern Festival + Dance,ぼんおど
0,発泡,foaming,Bubbles,はっぽう
1,気泡,(air) bubble (esp. in a liquid),Bubbles,きほう
2,水泡,foam,Bubbles,すいほう
0,鍛える,to forge,Forge,きた
0,黙る,to be silent,Shut Up,だま
3,寡黙,untalkative,Widow + Shut Up,かもく
2,瞬き,blink (of eyes),Blink,まばた
4,瞬く,to twinkle (e.g. stars),Blink,またた
1,斬る,"to kill (a human) using a blade (sword, machete, knife, etc.)",Slice,き
2,斬殺,"killing with a sword (knife, dagger, etc.)",Slice,ざんさつ
3,零時,twelve o'clock,Zero,れいじ
1,鈍い,dull (e.g. a knife),Dull,にぶ
3,鈍器,blunt weapon,Dull,どんき
1,憂鬱,depression,Grief + Gloom,ゆううつ
0,詐欺,fraud,Lie + Deceit,さぎ
1,欺く,to deceive,Deceit,あざむ
0,爽やか,fresh,Refreshing,さわ
0,恨み,resentment,Grudge,うら
1,恨む,to bear a grudge against,Grudge,うら
0,粘り,stickiness,Sticky,ねば
3,粘る,to be sticky,Sticky,ねば
4,粘着,cohesion,Sticky,ねんちゃく
2,憩い,rest,Rest,いこ
0,下唇,lower lip,Lips,したくちびる
1,上唇,upper lip,Lips,うわくちびる
0,憎しみ,hatred,Hate,にく
3,憎らしい,odious,Hate,にく
0,門扉,door(s) of a gate,Front Door,もんぴ
0,土塀,mud wall,Fence,どべい
0,虹色,rainbow-colored,Rainbow,にじいろ
3,哀れ,pity,Pathetic,あわ
5,哀悼,condolence,Pathetic + Grieve,あいとう
7,哀れむ,to pity,Pathetic,あわ
0,挟む,"to hold between (e.g. one's fingers, chopsticks)",Between,はさ
2,挿入,insertion,Insert,そうにゅう
3,挿話,episode,Insert,そうわ
0,炊く,"to cook (grains, e.g. rice)",Cook,た
2,滴る,to drip,Drip,したた
1,扇ぐ,to fan,Folding Fan,あお
2,空洞,cavity,Cave,くうどう
0,砕く,to break (into pieces),Smash,くだ
2,花柳,red-light district,Willow,かりゅう
4,詐取,defrauding,Lie,さしゅ
5,中佐,lieutenant colonel,Help,ちゅうさ
0,班長,squad leader,Squad,はんちょう
2,殴り込み,raid,Assault + Crowded,なぐこ
3,殴り合い,fist fight,Assault,なぐあ
0,耐える,to bear,Resistant,た
0,侮辱,insult,Despise + Humiliate,ぶじょく
3,辱める,to humiliate,Humiliate,はずかし
1,後ろ盾,backing,Shield,うしだて
2,備蓄,stocking up (in case of emergency),Amass,びちく
0,塗る,to paint,Paint,ぬ
3,塗料,paints,Paint,とりょう
2,悔やむ,to mourn,Regret,く
3,水溶性,water-soluble,Melt,すいようせい
0,栽培,cultivation,Planting + Cultivate,さいばい
1,培う,to cultivate,Cultivate,つちか
0,輝く,to shine,Radiance,かがや
1,輝き,brightness,Radiance,かがや
2,輝度,brightness,Radiance,きど
3,光輝,brightness,Radiance,こうき
0,飢える,to starve,Starve,う
1,飢え,hunger,Starve,う
2,飢餓,starvation,Starve + Starve,きが
0,踊り,dance,Dance,おど
1,踊る,to dance (orig. a hopping dance),Dance,おど
3,踊り場,place for dancing,Dance,おどば
0,賢い,wise,Clever,かしこ
1,咲く,to bloom,Blossom,さ
0,遂げる,to accomplish,Accomplish,と
2,斜体,oblique type,Diagonal,しゃたい
0,蚊帳,mosquito net,Mosquito + Notebook,かや
0,火鉢,brazier,Bowl,ひばち
0,尽くす,to use up,Exhaust,つ
1,尽きる,to be used up,Exhaust,つ
4,理不尽,unreasonable,Exhaust,りふじん
1,大麻,hemp,Hemp,たいま
2,麻布,hemp cloth,Hemp,あさぬの
3,騎馬,horse riding,Horse,きば
2,帳簿,account book,Notebook + Record Book,ちょうぼ
4,記帳,registry,Notebook,きちょう
5,メモ帳,memo book,Notebook,ちょう
0,陛下,Your Majesty,Highness,へいか
0,劣る,to be inferior to,Inferiority,おと
3,劣化,"deterioration (in quality, performance, etc.)",Inferiority,れっか
4,卑劣,mean,Lowly + Inferiority,ひれつ
0,桑原,mulberry field,Mulberry,くわばら
1,衰える,to become weak,Decline,おとろ
1,潤い,moisture,Watered,うるお
2,潤う,to become moist,Watered,うるお
0,刈る,"to cut (grass, hair, etc.)",Prune,か
1,鬱陶しい,gloomy (e.g. mood),Gloom + Pottery,うっとう
4,隔月,every second month,Isolate,かくげつ
5,勘案,taking into consideration,Intuition,かんあん
1,誓い,oath,Vow,ちか
0,煮る,to boil,Boil,に
2,煮物,nimono,Boil,にもの
1,淡い,light,Faint,あわ
3,覆る,to topple over,Capsize,くつがえ
6,気概,strong spirit,Approximation,きがい
1,唯物論,materialism,Solely,ゆいぶつろん
0,漬ける,to soak (in),Pickle,つ
1,浸す,to soak,Immersed,ひた
4,浸る,to be soaked in,Immersed,ひた
5,浸かる,to be submerged,Immersed,つ
0,漂う,to drift,Drift,ただよ
2,漂着,drifting ashore,Drift,ひょうちゃく
2,壮年,prime of life,Robust,そうねん
2,搬出,"carrying out (esp. heavy objects, artwork, furniture)",Transport,はんしゅつ
1,顕彰,honouring (publicly),Appear + Patent,けんしょう
0,連峰,mountain range,Summit,れんぽう
1,水晶,(rock) crystal,Crystal,すいしょう
2,鬱気,gloomy,Gloom,うっき
1,軌跡,tire track,Rut + Traces,きせき
1,仰ぐ,to look up (at),Look Up To,あお
2,仰々しい,exaggerated,Look Up To,ぎょうぎょう
3,仰天,being amazed,Look Up To,ぎょうてん
2,翻る,to flutter (in the wind),Flip,ひるがえ
3,翻意,changing one's mind,Flip,ほんい
0,頂く,to receive,Summit,いただ
1,隅々,every corner,Corner,すみずみ
2,四隅,four corners,Corner,よすみ
2,官邸,official residence (e.g. of the prime minister),Residence,かんてい
3,公邸,official residence,Residence,こうてい
5,邸内,grounds,Residence,ていない
1,不貞,unfaithfulness,Chastity,ふてい
2,貞節,chastity,Chastity,ていせつ
0,脂肪,fat,Fat + Obese,しぼう
1,渦中,vortex,Whirlpool,かちゅう
1,苗木,seedling,Seedling,なえぎ
0,沸かす,to boil,Boil,わ
1,沸く,to grow hot (e.g. water),Boil,わ
2,沸騰,boiling,Boil + Inflation,ふっとう
3,沸点,boiling point,Boil,ふってん
2,洗濯屋,laundry,Wash,せんたくや
3,洗濯粉,detergent,Wash + Powder,せんたくこ
0,耕す,to till,Plow,たがや
0,枯れる,to wither (of a plant),Wither,か
3,枯らす,to let dry,Wither,か
0,召す,to call,Call,め
1,挟まる,to get between,Between,はさ
0,颯と,quickly (esp. actions),Quick,さっ
3,遭遇,encounter,Encounter + Treatment,そうぐう
5,偏食,unbalanced diet,Biased,へんしょく
0,貫く,to go through,Pierce,つらぬ
2,貫通,"passing through (of a tunnel, bullet, etc.)",Pierce,かんつう
4,突貫,charging (at the enemy) with a shout,Stab + Pierce,とっかん
5,貫き通す,to go through,Pierce,つらぬとお
3,陥没,cave-in,Cave In + Die,かんぼつ
5,密猟,poaching,Secrecy + Hunting,みつりょう
2,擁立,backing (for a position),Embrace,ようりつ
3,抱擁,embrace,Hug + Embrace,ほうよう
2,怠慢,negligence,Lazy + Ridicule,たいまん
2,殊勲,distinguished services,Especially + Merit,しゅくん
2,覇気,spirit,Leadership,はき
3,制覇,conquest,Leadership,せいは
4,覇者,supreme ruler,Leadership,はしゃ
1,芳しい,sweet-smelling,Perfume,かんば
6,優遇,favorable treatment,Treatment,ゆうぐう
7,処遇,treatment (of a person),Deal With + Treatment,しょぐう
6,陳列室,showroom,Exhibit,ちんれつしつ
1,怠ける,to be lazy,Lazy,なま
2,怠る,to neglect,Lazy,おこた
4,怠い,sluggish,Lazy,だる
0,膨らむ,to expand,Swell,ふく
3,膨れる,to swell (out),Swell,ふく
6,出没,making frequent appearances,Die,しゅつぼつ
7,没後,after death,Die,ぼつご
0,真鯉,black carp,Carp,まごい
1,錦鯉,coloured carp,Brocade + Carp,にしきごい
2,緋鯉,red carp,Scarlet + Carp,ひごい
3,浄土,pure land (esp. the Western Pure Land paradise of Amitabha),Cleanse,じょうど
4,自浄,self-purification,Cleanse,じじょう
5,浄水,clean water,Cleanse,じょうすい
6,浄化,purification,Cleanse,じょうか
8,不浄,unclean,Cleanse,ふじょう
4,随所,everywhere,All,ずいしょ
0,啓蒙,enlightenment,Enlighten + Darkness,けいもう
1,蒙古,Mongolia (region),Darkness,もうこ
2,胞子,spore,Cell,ほうし
3,虐げる,to oppress,Oppress,しいた
0,諭す,"to make (someone) understand (a fault, mistake, etc.)",Admonish,さと
1,教諭,(licensed) teacher,Admonish,きょうゆ
2,寛ぐ,to relax,Tolerance,くつろ
1,経緯,details,Latitude,けいい
4,緯線,parallel,Latitude,いせん
1,据える,to place (in position),Install,す
3,本舗,head office,Shop,ほんぽ
3,稿料,manuscript fee,Draft,こうりょう
5,惨状,disastrous scene,Disaster,さんじょう
6,惨敗,ignominious defeat,Disaster,ざんぱい
2,化繊,synthetic fiber,Fiber,かせん
3,合繊,synthetic fiber,Fiber,ごうせん
0,尚且つ,besides,Furthermore + Also,なおか
5,疾風,gale,Rapid,しっぷう
0,逸らす,"to turn away (one's eyes, face, etc.)",Deviate,そ
4,逸れる,to turn away,Deviate,そ
4,叙勲,conferring of decorations,Describe + Merit,じょくん
0,愚か,foolish,Foolish,おろ
1,愚痴,idle complaint,Foolish + Stupid,ぐち
2,無報酬,unpaid,Repay,むほうしゅう
0,卸す,to sell wholesale,Wholesale,おろ
3,下ろし,dropping,,お
1,疎通,(mutual) understanding,Neglect,そつう
2,疎か,negligent,Neglect,おろそ
4,疎ら,sparse,Neglect,まば
6,疎開,evacuation (to the country),Neglect,そかい
7,空疎,empty (e.g. argument),Neglect,くうそ
4,痴呆,dementia,Stupid + Shock,ちほう
1,呆れる,to be amazed,Shock,あき
3,惚け,fool,,ぼ
4,ボケる,to grow senile,,
6,呆れ返る,to be utterly amazed,Shock,あきかえ
2,欄外,margin,Column,らんがい
1,旦那,"master (of a house, shop, etc.)",Dawn + What,だんな
2,元旦,New Year's Day,Dawn,がんたん
0,惜しい,regrettable,Frugal,お
1,癒着,adhesion,Healing,ゆちゃく
3,憂国,patriotic concern for the future of one's country,Grief,ゆうこく
5,憂える,to worry about,Grief,うれ
1,脊髄,spinal cord,Stature + Marrow,せきずい
2,骨髄,bone marrow,Marrow,こつずい
1,一抹,"a touch (of sadness, unease, etc.)",Erase,いちまつ
2,累進,successive promotion,Accumulate,るいしん
0,粗い,coarse,Coarse,あら
2,粗悪,coarse,Coarse,そあく
3,臥せる,to lie down,,ふ
4,伏線,foreshadowing,Bow,ふくせん
5,重鎮,leader,Tranquilize,じゅうちん
4,奉行,magistrate,Dedicate,ぶぎょう
3,脊椎,spine,Stature + Oak,せきつい
1,弥生,third month of the lunar calendar,Increasing,やよい
1,佳作,fine (piece of) work,Excellent,かさく
3,凝る,to become stiff (of muscles),Congeal,こ
1,国賓,state guest,VIP,こくひん
3,来賓,guest,VIP,らいひん
3,碑文,inscription,Tombstone,ひぶん
2,米穀,rice,Grain,べいこく
0,縛る,to tie,Bind,しば
2,金縛り,binding hand and foot,Bind,かなしば
0,飽きる,to get tired of,Bored,あ
2,飽き,weariness,Bored,あ
4,飽食,eating until one is full,Bored,ほうしょく
5,窮状,distress,Destitute,きゅうじょう
1,宰相,prime minister,Manager,さいしょう
3,拍子,(musical) time,Beat,ひょうし
0,凡庸,mediocre,Mediocre + Common,ぼんよう
0,恭しい,polite,Respect,うやうや
4,交錯,mixture,Confused,こうさく
1,縫う,to sew,Sew,ぬ
2,弦楽,music for strings,Chord,げんがく
3,凡人,ordinary person,Mediocre,ぼんじん
0,遥か,far away,Far Off,はる
1,中尉,first lieutenant,Military Officer,ちゅうい
2,摂理,laws (of nature),In Addition,せつり
1,舶来,imported,Ship,はくらい
3,直轄,direct control,Control,ちょっかつ
2,意匠,design,Artisan,いしょう
0,凛々しい,gallant,Cold,りり
0,佳日,auspicious day,Excellent,かじつ
0,寂しい,lonely,Lonely,さび
1,窒素,nitrogen (N),Suffocate,ちっそ
4,漬け,pickled (something),Pickle,づ
5,漬物,tsukemono (pickled vegetables),Pickle,つけもの
0,盲腸,cecum,Blind + Intestines,もうちょう
1,大腸,large intestine,Intestines,だいちょう
2,鼓膜,eardrum,Beat + Membrane,こまく
2,受胎,conception,Womb,じゅたい
3,堕胎,abortion,Degenerate + Womb,だたい
